measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2001,202763.82621716056,280570.70352690446,144686.9515048043
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2001,438.7748339570158,607.1465810739469,313.0982202627943
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2002,32012.02894806518,33938.24200349741,30260.790320277032
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2002,68.29218354276153,72.4014293433778,64.55621572922158
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2002,234097.63182407283,318930.46507127746,168119.12018726068
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2002,499.4072217475505,680.3835487391813,358.65336219402394
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2005,37487.81948300463,40029.58000635339,35326.76185383384
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2005,77.3310632449564,82.5742874840649,72.87316501288751
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2005,301613.6613603736,389647.5450635115,227876.7249917037
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2005,622.1782286584059,803.7773166350438,470.0713371812941
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2007,36482.36092472732,39056.00168414067,34403.00400515726
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2007,73.91394373247356,79.12818791670746,69.70112782755068
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2007,298252.95252424205,373687.30842523096,237273.93006768203
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2007,604.2660450732801,757.0974571922799,480.7214081454521
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2008,34818.164644118835,37120.08433835651,32944.05924304482
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2008,69.92045484779202,74.54307851820336,66.156950843053
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2008,282663.8558075464,350614.95843526465,232450.3651152738
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2008,567.6343244712834,704.0910289444053,466.79758753856504
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2006,38430.19447727582,41149.91401497607,36177.334100402615
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2006,78.5498785846549,84.10888348630826,73.94511632730514
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2006,305491.32771883026,387635.89160506584,236133.7107026906
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2006,624.4128354637502,792.3132483401049,482.64846321316844
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2009,32993.46397226603,35053.56186698347,31271.022619947238
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2009,65.6572325980089,69.75684234986245,62.229561814465605
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2009,260925.6095389935,322885.2579205966,222223.9613563665
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2009,519.2438554096543,642.5440050666093,442.22729483301936
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2010,31030.42615780445,32921.67896746838,29557.66355638653
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2010,61.17082403513266,64.8990839126337,58.26754125458978
